FTSE,HAN,NIK,SP
0.015394028,0.032142734,-0.020637104,0.015278475
-0.030509397,0.038285214,0.022944175,-0.007537995
0.011129712,0.022379566,0.021342522,0.027996713
0.007049489,0.025403651,0.01105713,-0.004987542
0.000622965,0.00601961,0.007452863,0.016136706
-0.027435146,-0.046021536,0.027306469,0.005838374
0.017077667,-0.013451654,0.021811199,0.008472156
0.006841142,0.038701547,0.028201248,0.025626866
0.02723773,-0.049070797,-0.00301941,-0.026959812
0.003642388,0.012400951,0.003860474,0.016518649
0.005712732,-0.013250747,0.007395431,-0.044084842
0.003553955,0.00860183,0.016272984,0.009621683
-0.041966538,-0.04800759,0.007234388,-0.009164749
-0.006796337,0.075596648,0.017735384,0.03758804
0.03679326,0.014446382,-0.004511087,-0.005055571
-0.013121505,0.01560707,0.012131259,-0.055135514
0.011075666,0.022271932,-0.001137747,0.037115771
-0.0066641,0.014230961,0.022085191,0.016283424
-0.021343905,0.036907203,-0.011734342,0.01353796
0.011770168,0.02590669,0.009438747,0.024375252
0.005777607,0.00011325,0.007506433,0.006702986
0.009906581,-0.004726501,0.006458954,-0.012856851
0.012383548,0.027245632,-0.00831898,0.017506132
0.022232153,0.003352946,-0.009138648,0.006885321
0.005335338,0.035564536,0.005752542,-0.006301625
-0.012960764,0.002753268,0.00908825,0.023009411
0.007999828,0.036895044,-0.01677512,0.008831472
0.000694946,0.011393058,0.006676874,0.042843501
-0.002193394,-0.030478653,0.021748492,-0.007731608
-0.014239723,0.021678098,-0.028393065,0.014268755
0.013114411,0.030607853,0.022392762,-0.039288863
-0.013603449,-0.016142307,-0.013547901,-0.024419086
-0.004903573,0.007518539,-0.01572461,0.002989919
-0.006410805,0.043023839,0.005032272,0.019904753
-0.036726026,0.046858412,0.010908145,0.001990607
0.001424623,-0.001906148,-0.003350608,-0.010338188
0.005111905,-0.023559654,0.001418922,-0.042619677
0.017799959,-0.133986323,-0.012564912,-0.166634221
0.008699803,-0.349694567,0.000141567,-0.102191921
0.007584954,-0.131979959,-0.004230119,0.065052792
-0.006537228,-0.015002864,0.011907064,-0.028767823
0.026111144,0.110457028,0.013116072,0.014976175
-0.006248001,-0.045085899,0.008097124,-0.005922615
-0.004169041,-0.039013264,0.027386961,-0.044610056
-0.009485461,-0.056723666,0.014856612,0.023035274
-0.010129456,0.077861661,0.00504263,0.03774808
0.016354222,0.08048607,0.015828679,0.020270425
-0.024632737,-0.014540497,-0.009901838,-0.021157629
-0.011615966,0.071972166,-0.00190201,0.04353919
-0.008673278,-0.032696581,0.015397285,-0.051844381
0.009181136,0.041295246,0.00280319,-0.013021231
0.017226377,-0.029273611,0.029317375,0.027440188
-0.005727807,-0.024401892,0.006755442,0.011284236
0.022607932,-0.052754972,0.006777905,0.017490178
0.031133425,0.041470282,-0.006582418,0.009886292
0.024433479,0.003413353,0.022213956,0.019938022
0.050730962,0.052586764,0.002627441,0.013335785
0.027274418,0.035756488,0.005040236,0.004022052
-0.023506645,0.001284562,-0.010816857,-0.001524986
-0.006762743,0.002685195,-0.003969789,0.000967334
-0.006115925,-0.01296074,0.008221117,-0.041145885
0.030212306,0.010870271,-0.020686968,0.028346309
0.018028791,0.043880179,0.040330474,0.022642758
-0.034825333,-0.035358219,0.018866769,-0.058534805
0.011212893,0.00525293,-0.003132525,0.029506112
